Id,Label,Family
Addam-Marbrand,Addam Marbrand,
Aegon-Targaryen-(son-of-Rhaegar),Aegon Targaryen (son of Rhaegar),Targaryen
Aegon-V-Targaryen,Aegon V Targaryen,Targaryen
Aemon-Targaryen-(Maester-Aemon),Aemon Targaryen (Maester Aemon),Targaryen
Aeron-Greyjoy,Aeron Greyjoy,Greyjoy
Aerys-II-Targaryen,Aerys II Targaryen,Targaryen
Alla-Tyrell,Alla Tyrell,Tyrell
Alleras,Alleras,
Alys-Arryn,Alys Arryn,Arryn
Amerei-Frey,Amerei Frey,Frey
Anders-Yronwood,Anders Yronwood,
Andrey-Dalt,Andrey Dalt,
Anya-Waynwood,Anya Waynwood,
Areo-Hotah,Areo Hotah,
Arianne-Martell,Arianne Martell,Martell
Armen,Armen,
Arya-Stark,Arya Stark,Stark
Arys-Oakheart,Arys Oakheart,
Asha-Greyjoy,Asha Greyjoy,Greyjoy
Aurane-Waters,Aurane Waters,
Baelor-Blacktyde,Baelor Blacktyde,
Baelor-I-Targaryen,Baelor I Targaryen,Targaryen
Balman-Byrch,Balman Byrch,
Balon-Greyjoy,Balon Greyjoy,Greyjoy
Balon-Swann,Balon Swann,
Barristan-Selmy,Barristan Selmy,
Bellegere-Otherys,Bellegere Otherys,
Benedar-Belmore,Benedar Belmore,
Beric-Dondarrion,Beric Dondarrion,
Biter,Biter,
Blue-Bard,Blue Bard,
Bonifer-Hasty,Bonifer Hasty,
Boros-Blount,Boros Blount,
Bran-Stark,Bran Stark,Stark
Brea,Brea,
Brella,Brella,
Brienne-of-Tarth,Brienne of Tarth,
Bronn,Bronn,
Brusco,Brusco,
Brynden-Tully,Brynden Tully,Tully
Caleotte,Caleotte,
Catelyn-Stark,Catelyn Stark,Stark
Cedra,Cedra,
Cedric-Payne,Cedric Payne,
Cersei-Lannister,Cersei Lannister,Lannister
Clarence-Crabb,Clarence Crabb,
Clement-Piper,Clement Piper,
Cleos-Frey,Cleos Frey,Frey
Clydas,Clydas,
Colemon,Colemon,
Craster,Craster,
Creighton-Longbough,Creighton Longbough,
Daemon-Sand,Daemon Sand,
Dalla,Dalla,
Dareon,Dareon,
Daven-Lannister,Daven Lannister,Lannister
Denyo-Terys,Denyo Terys,
Denys-Darklyn,Denys Darklyn,
Dick-Crabb,Dick Crabb,
Dontos-Hollard,Dontos Hollard,
Doran-Martell,Doran Martell,Martell
Dorcas,Dorcas,
Dunsen,Dunsen,
Dunstan-Drumm,Dunstan Drumm,
Eddard-Stark,Eddard Stark,Stark
